"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048732","GO:0048732","gland development","38/848","413/18862",2.46268204036563e-05,0.00227191089639364,0.00187266066494223,"CCL11/HAMP/LAMA1/MAFB/CPS1/NKX2-3/GLI3/E2F7/HNF4A/LAMA5/RGN/LSR/LRP5/NTN4/DDR1/ATP2C2/GDF7/ESRP2/EGF/WNT3/TFCP2L1/HPN/MESP1/CAV3/WNT3A/CDH1/KRT18/XDH/ERBB4/SHH/HNF1A/COBL/ONECUT2/MST1L/SIX1/NKX2-1/HNF1B/SLC6A3",38
"GO:0002706","GO:0002706","regulation of lymphocyte mediated immunity","20/848","157/18862",2.59468971244896e-05,0.0023604468911862,0.00194563794373548,"KLRC2/KIR2DL4/KLRC4-KLRK1/KLRC1/LILRB4/LAG3/NCR1/IL18RAP/LEP/KLRK1/TBX21/HAVCR2/IL1B/LILRB1/C3/CD1C/CD1E/C4BPA/FOXJ1/AZGP1",20
"GO:0050920","GO:0050920","regulation of chemotaxis","25/848","224/18862",2.7292272377106e-05,0.00244882717904171,0.00201848687847407,"CCL7/KLRC4-KLRK1/GREM1/CCL4/CCL3/PLA2G7/XCL2/KLRK1/SERPINE1/CCL5/CXCL10/SLAMF8/CCR1/FGF16/TREM2/C5AR1/FGF18/THBS4/MTUS1/DPP4/WNT3/MMP28/WNT3A/MST1L/CXCL17",25
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","23/848","197/18862",2.76956629204643e-05,0.00245144043417624,0.00202064089785294,"ACOD1/HAMP/CXCL9/CCL3/CD274/CXCL11/PDCD1LG2/SERPINE1/CCL5/CXCL10/LILRB2/CCR5/GFI1/CD14/HAVCR2/CD80/IL1B/LILRB1/CX3CR1/CD55/LDOC1/TFPI/CTSG",23
"GO:0035725","GO:0035725","sodium ion transmembrane transport","21/848","171/18862",2.87337517248465e-05,0.00250941431730326,0.00206842684346298,"NETO1/SLC6A12/ATP1A3/HCN2/TRPM2/FXYD4/SLC9A5/ATP1B1/ASIC4/SCN9A/SCN4A/SLC4A4/SLC5A2/CAV3/SCNN1B/SCNN1A/SCN4B/SLC5A1/SCN1A/SLC6A3/SLC34A2",21
"GO:0051146","GO:0051146","striated muscle cell differentiation","28/848","269/18862",3.33263697901775e-05,0.00286054773215931,0.00235785445050142,"TNNT1/GREM1/ADAM12/HAMP/RGS4/CXCL9/ALPK2/SHOX2/CXCL10/CYP26B1/MMP14/MYF6/FLNC/ALPK3/NRAP/CXADR/SORBS2/WFIKKN1/MESP1/CAV3/NEBL/WNT3A/KRT8/MYOZ1/SHH/PI16/SIX1/SCGB3A1",28
"GO:0001763","GO:0001763","morphogenesis of a branching structure","22/848","186/18862",3.36278130345446e-05,0.00286054773215931,0.00235785445050142,"FOXD1/CCL11/GREM1/LAMA1/ADAMTS16/SHOX2/GLI3/MMP14/LAMA5/LRP5/NTN4/DDR1/CTSH/GDF7/ESRP2/EGF/CAV3/SHH/PKHD1/SIX1/EPHA7/NKX2-1",22
"GO:0070663","GO:0070663","regulation of leukocyte proliferation","26/848","241/18862",3.42406308495935e-05,0.00287533502647227,0.00237004312587807,"GREM1/CCL8/GAL/IL27/LILRB4/PLA2G2F/GPNMB/CD274/LEP/PDCD1LG2/IDO1/CCL5/LILRB2/TNFSF9/HAVCR2/CD80/CD300A/IL1B/LILRB1/CD55/ERBB2/WNT3A/SHH/ENPP3/SFTPD/FOXJ1",26
"GO:0071675","GO:0071675","regulation of mononuclear cell migration","16/848","111/18862",3.60542264499654e-05,0.00295863399697394,0.00243870369955473,"CCL7/KLRC4-KLRK1/GREM1/CCL4/CCL3/PLA2G7/XCL2/KLRK1/SERPINE1/CCL5/CXCL10/SLAMF8/CCR1/C5AR1/BMP5/CXCL17",16
"GO:0048246","GO:0048246","macrophage chemotaxis","9/848","38/18862",3.61359877493e-05,0.00295863399697394,0.00243870369955473,"CCL3/CCL5/SLAMF8/C5AR1/MTUS1/MMP28/MST1L/SFTPD/CXCL17",9
"GO:0098739","GO:0098739","import across plasma membrane","20/848","161/18862",3.7449200399569e-05,0.00302829953848367,0.00249612669070032,"KCNJ10/IFNG/RGS4/SLC1A3/SLC2A5/ATP1A3/HCN2/SLC1A6/TRPM2/TRPV5/SLC7A5/SLC2A1/CLTRN/SLC9A5/ATP1B1/KCNJ15/ACE2/SLC5A2/SLC5A1/FOLR1",20
"GO:0060541","GO:0060541","respiratory system development","22/848","188/18862",3.96549555314708e-05,0.0031675604723309,0.00261091485135961,"MMP12/LAMA1/ADAMTS2/BASP1/PDPN/GLI3/MSC/MMP14/FGF18/LAMA5/ITGA3/HYDIN/CTSH/ESRP2/ABCA3/FGF9/SHH/SFTPD/SIX1/NKX2-1/FOXJ1/SPDEF",22
"GO:0071621","GO:0071621","granulocyte chemotaxis","17/848","124/18862",4.01521098025152e-05,0.00316863035188523,0.00261179671752822,"CCL3L3/CCL7/CCL11/CCL8/CXCL9/CCL4/CCL3/XCL2/CXCL11/CCL4L1/CCL5/CXCL10/C5AR1/CXADR/THBS4/DPP4/CXCL17",17
"GO:0070365","GO:0070365","hepatocyte differentiation","6/848","16/18862",4.40707407838475e-05,0.00343646847778811,0.00283256678546809,"CPS1/E2F7/HNF4A/MESP1/KRT18/HNF1B",6
"GO:0034329","GO:0034329","cell junction assembly","38/848","425/18862",4.60073917240089e-05,0.00354527547990892,0.00292225278207358,"CBLN2/GREM1/GJB2/GPC6/NLGN4X/NPAS4/CLDN14/SNAI2/SH3BP1/MMP14/SNAI1/IL1B/FLNC/ARVCF/OCLN/LSR/CAMSAP3/EPB41L5/LIMCH1/GPC4/ACE2/WNT3A/FLRT3/SHANK2/CDH1/PPP1R9A/CLDN4/LRRTM1/ERBB4/GABRB3/RAB17/SIX1/EPHA7/CLDN3/CLDN6/CLDN2/SLITRK6/GJB1",38
"GO:0072006","GO:0072006","nephron development","18/848","138/18862",4.72914209242078e-05,0.00356044605808691,0.0029347573856051,"FOXD1/GREM1/ADAMTS16/BASP1/GLI3/STAT1/LAMA5/ITGA3/COL4A4/KLF15/IRX3/COL4A3/SHH/IRX2/SIX1/HNF1B/FOXJ1/TFAP2B",18
"GO:1903038","GO:1903038","negative regulation of leukocyte cell-cell adhesion","18/848","138/18862",4.72914209242078e-05,0.00356044605808691,0.0029347573856051,"LILRB4/PLA2G2F/LAG3/GPNMB/CD274/PDCD1LG2/IDO1/TBX21/LILRB2/HAVCR2/CD80/GLI3/CD300A/LILRB1/ERBB2/SHH/SFTPD/FOXJ1",18
"GO:0007565","GO:0007565","female pregnancy","21/848","177/18862",4.8116440797068e-05,0.00358139417296359,0.00295202422067179,"ACOD1/GJB2/FOSL1/MMP9/LEP/IDO1/CORIN/ACVR1C/HAVCR2/SLC2A1/IL1B/MMP2/TLE6/ITGA3/DDR1/CNR1/AMBP/HPGD/TPPP3/MMP7/CLDN4",21
"GO:0042445","GO:0042445","hormone metabolic process","24/848","218/18862",4.89660010143677e-05,0.00360367760274279,0.0029703917114452,"GAL/LEP/PCSK1/CORIN/CYP26B1/CTSL/GFI1/CTSK/CGA/AWAT2/TTR/TPO/DIO1/BCO1/HPN/ACE2/CYP17A1/BMP5/CMA1/HSD17B2/SHH/HSD17B6/CTSG/CRYM",24
"GO:1903131","GO:1903131","mononuclear cell differentiation","37/848","411/18862",4.99703551738451e-05,0.00363673140431872,0.00299763686183218,"IFNG/IL31RA/KLRC1/IL27/LILRB4/LAG3/CD8A/MT1G/EGR3/EOMES/ZNF683/LEP/TBX21/CYP26B1/SLAMF8/MAFB/UBD/CTSL/LILRB2/TRPM2/TNFSF9/NKX2-3/CD80/GLI3/TREM2/TNFRSF18/MMP14/IL11/IL1B/LILRB1/KIT/ERBB2/ZBTB16/HMGB3/RORC/SHH/FOXJ1",37
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","31/848","320/18862",5.18854988470357e-05,0.00373461557635257,0.00307831953252107,"CCL3L3/CCL7/CCL11/CCL8/CCL4/GPNMB/CCL3/GBP1/ATF3/NLRP6/XCL2/CCL4L1/CCL5/APOE/HAVCR2/CCR1/TREM2/C5AR1/IL26/IL1B/MTURN/FGF18/ARHGAP8/ERBB2/CTSH/EGF/LMO3/ERBB4/ROS1/PKHD1/EPHA7",31
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","28/848","276/18862",5.27403625247007e-05,0.00375488450583467,0.00309502653763375,"KLRC4-KLRK1/IFNG/LILRB4/PDCD1/EGR3/CD274/PLAUR/LEP/PDCD1LG2/KLRK1/CCL5/SIRPG/LILRB2/PDPN/TNFSF9/HAVCR2/CD80/GLI3/IL1B/LILRB1/CD55/PTPRU/ZBTB16/DPP4/WNT3A/SHH/FOXA2/CEACAM6",28
"GO:0001957","GO:0001957","intramembranous ossification","4/848","6/18862",5.65899481164754e-05,0.00382128000167953,0.00314975413878896,"COL1A1/MN1/MMP2/FGF18",4
"GO:0036072","GO:0036072","direct ossification","4/848","6/18862",5.65899481164754e-05,0.00382128000167953,0.00314975413878896,"COL1A1/MN1/MMP2/FGF18",4
"GO:0098704","GO:0098704","carbohydrate import across plasma membrane","4/848","6/18862",5.65899481164754e-05,0.00382128000167953,0.00314975413878896,"SLC2A5/SLC2A1/SLC5A2/SLC5A1",4
"GO:0140271","GO:0140271","hexose import across plasma membrane","4/848","6/18862",5.65899481164754e-05,0.00382128000167953,0.00314975413878896,"SLC2A5/SLC2A1/SLC5A2/SLC5A1",4
"GO:2000503","GO:2000503","positive regulation of natural killer cell chemotaxis","4/848","6/18862",5.65899481164754e-05,0.00382128000167953,0.00314975413878896,"CCL7/CCL4/CCL3/CCL5",4
"GO:0050954","GO:0050954","sensory perception of mechanical stimulus","20/848","167/18862",6.32765094636427e-05,0.00422919527537612,0.00348598514542452,"GJB2/MYO1A/TRPA1/COL1A1/SNAI2/HOXA1/MYO7A/EPS8L2/ALDH7A1/KIT/DCDC2/MYH14/HPN/COL4A3/CACNA1D/LHFPL3/SIX1/CRYM/SCN1A/SLITRK6",20
"GO:1905523","GO:1905523","positive regulation of macrophage migration","7/848","24/18862",6.39936201021875e-05,0.00423392132999321,0.00348988067521658,"CCL3/CCL5/TREM2/MMP14/C5AR1/CX3CR1/CXCL17",7
"GO:0038128","GO:0038128","ERBB2 signaling pathway","8/848","32/18862",6.4854620300334e-05,0.00424797762967188,0.00350146681600435,"MATK/HBEGF/ERBB2/GRB7/EGF/BTC/ERBB3/ERBB4",8
"GO:0002645","GO:0002645","positive regulation of tolerance induction","5/848","11/18862",6.68532803020463e-05,0.00433553451463766,0.00357363704709948,"LILRB4/CD274/IDO1/LILRB2/FOXJ1",5
"GO:0001822","GO:0001822","kidney development","28/848","280/18862",6.79461337672287e-05,0.00435263618718954,0.00358773338756049,"FOXD1/GREM1/ADAMTS16/MMP9/BASP1/CYP26B1/GLI3/STAT1/LAMA5/RGN/ITGA3/CTSH/ZBTB16/COL4A4/KLF15/IRX3/HPGD/COL4A3/AQP2/SHH/IRX2/PKHD1/FREM2/SIX1/EPHA7/HNF1B/FOXJ1/TFAP2B",28
"GO:0042129","GO:0042129","regulation of T cell proliferation","20/848","168/18862",6.88589608676963e-05,0.00435263618718954,0.00358773338756049,"IL27/LILRB4/PLA2G2F/GPNMB/CD274/LEP/PDCD1LG2/IDO1/CCL5/LILRB2/TNFSF9/HAVCR2/CD80/IL1B/LILRB1/CD55/ERBB2/SHH/SFTPD/FOXJ1",20
"GO:1901888","GO:1901888","regulation of cell junction assembly","22/848","195/18862",6.91105593080477e-05,0.00435263618718954,0.00358773338756049,"CBLN2/GREM1/GPC6/SNAI2/MMP14/SNAI1/IL1B/OCLN/CAMSAP3/EPB41L5/LIMCH1/GPC4/ACE2/WNT3A/FLRT3/PPP1R9A/LRRTM1/RAB17/SIX1/EPHA7/CLDN3/SLITRK6",22
"GO:0001656","GO:0001656","metanephros development","13/848","82/18862",7.03977120676282e-05,0.00439147632421871,0.00361974802200366,"FOXD1/GREM1/BASP1/GLI3/STAT1/CTSH/IRX3/AQP2/SHH/IRX2/SIX1/FOXJ1/TFAP2B",13
"GO:0072009","GO:0072009","nephron epithelium development","15/848","106/18862",7.7823273039617e-05,0.00473713499348978,0.00390466297816136,"FOXD1/GREM1/ADAMTS16/BASP1/GLI3/STAT1/LAMA5/KLF15/IRX3/SHH/IRX2/SIX1/HNF1B/FOXJ1/TFAP2B",15
"GO:0009914","GO:0009914","hormone transport","30/848","312/18862",7.81084853888391e-05,0.00473713499348978,0.00390466297816136,"PTPRN/IFNG/FOXD1/GAL/IL1RN/OSM/VSNL1/SLC16A1/LEP/CCL5/ACVR1C/SLC7A5/SLC2A1/IL11/IL1B/HNF4A/CLTRN/TTR/LRP5/CNR1/DPP4/CACNA2D2/CACNA1D/ENHO/HNF1A/FOXA2/FAM3B/CRYM/HNF1B/TFAP2B",30
"GO:0070661","GO:0070661","leukocyte proliferation","30/848","312/18862",7.81084853888391e-05,0.00473713499348978,0.00390466297816136,"GREM1/CCL8/GAL/IL27/LILRB4/PLA2G2F/GPNMB/CD274/LEP/PDCD1LG2/IDO1/CCL5/LILRB2/TNFSF9/HAVCR2/CD80/TREM2/CD300A/IL1B/LILRB1/GAPT/CD55/KIT/ERBB2/WNT3A/SHH/CLU/ENPP3/SFTPD/FOXJ1",30
"GO:0001578","GO:0001578","microtubule bundle formation","15/848","107/18862",8.68171671414576e-05,0.00521699490620686,0.00430019556029489,"HYDIN/DNAAF3/CFAP46/TPPP3/RSPH1/CFAP43/GAS2L2/TTLL6/DNAJB13/SPEF1/DNAI1/CFAP65/SPAG17/RP1/FOXJ1",15
"GO:0051155","GO:0051155","positive regulation of striated muscle cell differentiation","10/848","52/18862",9.07872563805609e-05,0.00540596844811522,0.00445596017201815,"GREM1/HAMP/SHOX2/CYP26B1/MMP14/MYF6/MESP1/CAV3/WNT3A/SHH",10
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","31/848","330/18862",9.20952181769615e-05,0.00543444755909097,0.00447943455694296,"KLRC4-KLRK1/IFNG/LILRB4/PLA2G2F/LAG3/PDCD1/GPNMB/EGR3/CD274/LEP/PDCD1LG2/KLRK1/IDO1/CCL5/SIRPG/TBX21/LILRB2/TNFSF9/HAVCR2/CD80/GLI3/CD300A/IL1B/LILRB1/CD55/ERBB2/ZBTB16/DPP4/SHH/SFTPD/FOXJ1",31
"GO:0002643","GO:0002643","regulation of tolerance induction","6/848","18/18862",9.45572485944439e-05,0.00552991052047864,0.00455812150414382,"LILRB4/CD274/IDO1/LILRB2/HAVCR2/FOXJ1",6
"GO:0070372","GO:0070372","regulation of ERK1 and ERK2 cascade","29/848","301/18862",9.86497146253793e-05,0.00571819142297552,0.00471331519621398,"CCL3L3/CCL7/CCL11/CCL8/CCL4/GPNMB/CCL3/GBP1/ATF3/NLRP6/XCL2/CCL4L1/CCL5/APOE/HAVCR2/CCR1/TREM2/C5AR1/IL26/IL1B/MTURN/FGF18/ARHGAP8/ERBB2/LMO3/ERBB4/ROS1/PKHD1/EPHA7",29
"GO:0061138","GO:0061138","morphogenesis of a branching epithelium","20/848","173/18862",0.000103864573851884,0.00596765753271791,0.00491894182166495,"FOXD1/CCL11/GREM1/LAMA1/ADAMTS16/GLI3/MMP14/LAMA5/LRP5/NTN4/DDR1/CTSH/GDF7/ESRP2/EGF/CAV3/SHH/PKHD1/SIX1/NKX2-1",20
"GO:0007389","GO:0007389","pattern specification process","37/848","426/18862",0.000105184848396665,0.00599096310433178,0.00493815182999079,"FOXD1/GREM1/EOMES/HES2/TBX21/BASP1/CYP26B1/MAFB/C1QA/GLI3/ROR2/MYF6/SNAI1/C3/LRP5/NKD1/ZBTB16/CXXC4/SHROOM3/EPB41L5/WNT3/IRX3/MESP1/WNT3A/PIFO/ERBB4/SHH/COBL/DNAH11/IRX2/FOXA2/SIX1/DNAI1/NKX2-1/FOXJ1/FEZF1/FOLR1",37
"GO:0032963","GO:0032963","collagen metabolic process","15/848","109/18862",0.000107561694410377,0.0060735267102411,0.00500620626706735,"MMP12/MMP9/ADAMTS2/COL1A1/COL1A2/CTSL/CTSK/MMP25/MMP14/CTSB/MMP2/TNXB/MMP15/MMP28/MMP7",15
"GO:0007605","GO:0007605","sensory perception of sound","18/848","147/18862",0.000108776482205321,0.00608962357645173,0.00501947437904715,"GJB2/MYO1A/COL1A1/SNAI2/HOXA1/MYO7A/EPS8L2/ALDH7A1/KIT/DCDC2/MYH14/HPN/COL4A3/CACNA1D/LHFPL3/SIX1/CRYM/SLITRK6",18
"GO:0072001","GO:0072001","renal system development","28/848","288/18862",0.000110691000143053,0.00614428856726266,0.00506453291466295,"FOXD1/GREM1/ADAMTS16/MMP9/BASP1/CYP26B1/GLI3/STAT1/LAMA5/RGN/ITGA3/CTSH/ZBTB16/COL4A4/KLF15/IRX3/HPGD/COL4A3/AQP2/SHH/IRX2/PKHD1/FREM2/SIX1/EPHA7/HNF1B/FOXJ1/TFAP2B",28
"GO:0098657","GO:0098657","import into cell","24/848","230/18862",0.000114306240154442,0.00628463768154256,0.00518021802629679,"KCNJ10/IFNG/RGS4/SLC1A3/SLC2A5/ATP1A3/HCN2/SLC1A6/TRPM2/TRPV5/SLC7A5/SLC2A1/TREM2/CLTRN/SLC9A5/ATP1B1/KCNJ15/ACE2/MAPK15/SLC18A2/SLC5A2/SLC5A1/SLC6A3/FOLR1",24
"GO:0050808","GO:0050808","synapse organization","36/848","412/18862",0.000115138400272535,0.00628463768154256,0.00518021802629679,"CBLN2/GPC6/NLGN4X/NPAS4/SNCB/APOE/LILRB2/C1QA/TREM2/C1QB/DRP2/C5AR1/C1QC/CX3CR1/C3/EFNA1/ITGA3/NTNG1/PTPRF/ERBB2/LZTS3/ARHGAP44/GPC4/WNT3A/SYBU/FLRT3/SHANK2/CDH1/PPP1R9A/LRRTM1/ERBB4/GABRB3/RAB17/SIX1/EPHA7/SLITRK6",36
"GO:0045619","GO:0045619","regulation of lymphocyte differentiation","20/848","175/18862",0.000121780163745584,0.00654139793442666,0.00539185697158286,"IFNG/IL27/LILRB4/LAG3/EGR3/ZNF683/TBX21/CYP26B1/SLAMF8/LILRB2/TNFSF9/CD80/GLI3/TNFRSF18/MMP14/ERBB2/ZBTB16/HMGB3/SHH/FOXJ1",20
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","33/848","366/18862",0.000121839778320619,0.00654139793442666,0.00539185697158286,"KLRC4-KLRK1/IFNG/CD177/LILRB4/PLA2G2F/LAG3/PDCD1/GPNMB/EGR3/CD274/LEP/PDCD1LG2/KLRK1/IDO1/CCL5/SIRPG/TBX21/LILRB2/TNFSF9/HAVCR2/CD80/GLI3/CD300A/IL1B/LILRB1/CX3CR1/CD55/ERBB2/ZBTB16/DPP4/SHH/SFTPD/FOXJ1",33
"GO:0060556","GO:0060556","regulation of vitamin D biosynthetic process","4/848","7/18862",0.00012732975493384,0.0067805682505419,0.00558899711643703,"IFNG/SNAI2/GFI1/SNAI1",4
"GO:0002689","GO:0002689","negative regulation of leukocyte chemotaxis","6/848","19/18862",0.000132961422080309,0.00702336544053243,0.00578912677291938,"KLRC4-KLRK1/GREM1/KLRK1/SLAMF8/DPP4/MMP28",6
"GO:0035082","GO:0035082","axoneme assembly","12/848","76/18862",0.000138023879982764,0.00723245131109682,0.00596146930889764,"HYDIN/DNAAF3/CFAP46/RSPH1/CFAP43/DNAJB13/SPEF1/DNAI1/CFAP65/SPAG17/RP1/FOXJ1",12
"GO:0071216","GO:0071216","cellular response to biotic stimulus","24/848","233/18862",0.000139664828212415,0.00726035416501048,0.005984468704273,"ACOD1/HAMP/CXCL9/CCL3/CD274/CXCL11/PDCD1LG2/SERPINE1/CCL5/CXCL10/LILRB2/CCR5/GFI1/CD14/HAVCR2/CD80/TREM2/IL1B/LILRB1/CX3CR1/CD55/LDOC1/TFPI/CTSG",24
"GO:0050777","GO:0050777","negative regulation of immune response","18/848","150/18862",0.00014111769585922,0.00727811738486531,0.00599911033619513,"KIR2DL4/ACOD1/MMP12/KLRC1/LILRB4/PDCD1/COL3A1/NLRP6/TBX21/SLAMF8/HAVCR2/CD300A/LILRB1/CD55/AMBP/ENPP3/C4BPA/FOXJ1",18
"GO:0010758","GO:0010758","regulation of macrophage chemotaxis","7/848","27/18862",0.000145914334441666,0.00746671008275711,0.00615456103084953,"CCL5/SLAMF8/C5AR1/MTUS1/MMP28/MST1L/CXCL17",7
"GO:0060993","GO:0060993","kidney morphogenesis","13/848","88/18862",0.00014784776169221,0.00750699875258894,0.0061877696427527,"FOXD1/GREM1/ADAMTS16/BASP1/GLI3/STAT1/LAMA5/IRX3/SHH/IRX2/SIX1/HNF1B/FOXJ1",13
"GO:1902105","GO:1902105","regulation of leukocyte differentiation","27/848","279/18862",0.000157336260482941,0.00792732697048662,0.00653423222685832,"IFNG/IL27/LILRB4/LAG3/CCL3/EGR3/ZNF683/TBX21/CYP26B1/SLAMF8/MAFB/LILRB2/TNFSF9/CD80/CCR1/GLI3/ROR2/TREM2/TNFRSF18/MMP14/C1QC/LILRB1/ERBB2/ZBTB16/HMGB3/SHH/FOXJ1",27
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","23/848","221/18862",0.000163732585700368,0.00818662928501842,0.00674796650909755,"GAL/IL27/LILRB4/PLA2G2F/GPNMB/CD274/LEP/PDCD1LG2/IDO1/CCL5/LILRB2/TNFSF9/HAVCR2/CD80/CD300A/IL1B/LILRB1/CD55/ERBB2/WNT3A/SHH/SFTPD/FOXJ1",23
"GO:0003002","GO:0003002","regionalization","30/848","326/18862",0.000170976992175238,0.00848408559657431,0.00699314986337158,"FOXD1/GREM1/HES2/BASP1/CYP26B1/MAFB/C1QA/GLI3/ROR2/MYF6/SNAI1/C3/LRP5/NKD1/ZBTB16/CXXC4/EPB41L5/WNT3/IRX3/MESP1/WNT3A/PIFO/SHH/COBL/IRX2/FOXA2/SIX1/NKX2-1/FOXJ1/FEZF1",30
"GO:0042362","GO:0042362","fat-soluble vitamin biosynthetic process","5/848","13/18862",0.000172710864523466,0.00850568543329853,0.00701095389110296,"IFNG/SNAI2/GFI1/SNAI1/BCO1",5
"GO:0033555","GO:0033555","multicellular organismal response to stress","11/848","67/18862",0.000182060363994725,0.00886687523549647,0.00730867064409183,"IDO1/TRPA1/APOE/GCH1/VWA1/THBS4/ASIC4/SCN9A/TACR1/DPP4/PENK",11
"GO:0090026","GO:0090026","positive regulation of monocyte chemotaxis","6/848","20/18862",0.000182752390349927,0.00886687523549647,0.00730867064409183,"PLA2G7/SERPINE1/CCL5/CXCL10/CCR1/CXCL17",6
"GO:0002507","GO:0002507","tolerance induction","7/848","28/18862",0.000187057176720621,0.00894662530864745,0.00737440597959867,"ACOD1/LILRB4/CD274/IDO1/LILRB2/HAVCR2/FOXJ1",7
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation","23/848","223/18862",0.000187127888135069,0.00894662530864745,0.00737440597959867,"GAL/IL27/LILRB4/PLA2G2F/GPNMB/CD274/LEP/PDCD1LG2/IDO1/CCL5/LILRB2/TNFSF9/HAVCR2/CD80/CD300A/IL1B/LILRB1/CD55/ERBB2/WNT3A/SHH/SFTPD/FOXJ1",23
"GO:0002703","GO:0002703","regulation of leukocyte mediated immunity","22/848","209/18862",0.000191388828490032,0.00901868220582525,0.00743380008576581,"KLRC2/KIR2DL4/KLRC4-KLRK1/CD177/KLRC1/LILRB4/LAG3/NCR1/IL18RAP/LEP/KLRK1/TBX21/HAVCR2/CD300A/IL1B/LILRB1/C3/CD1C/CD1E/C4BPA/FOXJ1/AZGP1",22
"GO:0045216","GO:0045216","cell-cell junction organization","22/848","209/18862",0.000191388828490032,0.00901868220582525,0.00743380008576581,"GJB2/CD177/NLGN4X/CLDN14/SNAI2/SNAI1/IL1B/ARVCF/OCLN/CXADR/LSR/CAMSAP3/ACE2/CDH1/TJP3/CLDN4/CDH15/PKHD1/CLDN3/CLDN6/CLDN2/GJB1",22
"GO:0006814","GO:0006814","sodium ion transport","24/848","239/18862",0.000205812643883053,0.00962909155309998,0.0079369402291442,"NETO1/SLC6A12/ATP1A3/HCN2/TRPM2/SGK1/FXYD4/SLC9A5/ATP1B1/ASIC4/SCN9A/SCN4A/SLC4A4/SLC5A2/CAV3/SCNN1B/SCNN1A/SCN4B/SLC5A1/SCN1A/PRSS8/SLC13A2/SLC6A3/SLC34A2",24
